Index,Champion,Other Champions,Synergy,Counter,Synergy Total,Counter Total
613,Ahri,Zoe,0,2,0,2
614,Ahri,Zyra,-1,-4,1,4
615,Ahri,Yuumi,-1,-1,3,5
616,Ahri,Senna,2,1,6,1
617,Ahri,Qiana,0,0,0,0
618,Ahri,Sett,-1,0,7,0
619,Ahri,Aphelios,-2,5,4,7
620,Ahri,Viego,3,2,3,10
621,Ahri,Rell,0,0,0,2
622,Ahri,Lillia,-1,0,1,0
623,Ahri,Yone,1,-3,1,5
624,Akshan,Aatrox,0,-1,0,1
625,Akshan,Akali,-4,1,4,1
626,Akshan,Aurelion Sol,0,0,0,0
627,Akshan,Ahri,0,-1,0,3
628,Akshan,Akshan,0,0,80,0
629,Akshan,Alistar,-1,2,1,4
